ts,equity
2025-02-28 13:00:00+00:00,94047.66647664378
2025-02-28 14:00:00+00:00,94047.66647664378
2025-02-28 15:00:00+00:00,94047.66647664378
2025-02-28 16:00:00+00:00,94047.66647664378
2025-02-28 17:00:00+00:00,94047.66647664378
2025-02-28 18:00:00+00:00,94047.66647664378
2025-02-28 19:00:00+00:00,94047.66647664378
2025-02-28 20:00:00+00:00,94047.66647664378
2025-02-28 21:00:00+00:00,94047.66647664378
2025-03-02 22:00:00+00:00,94047.66647664378
2025-03-02 23:00:00+00:00,94047.66647664378
2025-03-03 00:00:00+00:00,94047.66647664378
2025-03-03 01:00:00+00:00,94047.66647664378
2025-03-03 02:00:00+00:00,94047.66647664378
2025-03-03 03:00:00+00:00,94047.66647664378
2025-03-03 04:00:00+00:00,94047.66647664378
2025-03-03 05:00:00+00:00,94047.66647664378
2025-03-03 06:00:00+00:00,94047.66647664378
2025-03-03 07:00:00+00:00,94047.66647664378
2025-03-03 08:00:00+00:00,94047.66647664378
2025-03-03 09:00:00+00:00,94047.66647664378
2025-03-03 10:00:00+00:00,94047.66647664378
2025-03-03 11:00:00+00:00,94047.66647664378
2025-03-03 12:00:00+00:00,94047.66647664378
2025-03-03 13:00:00+00:00,94047.66647664378
2025-03-03 14:00:00+00:00,94047.66647664378
2025-03-03 15:00:00+00:00,94047.66647664378
2025-03-03 16:00:00+00:00,94047.66647664378
2025-03-03 17:00:00+00:00,94047.66647664378
2025-03-03 18:00:00+00:00,94047.66647664378
2025-03-03 19:00:00+00:00,94047.66647664378
2025-03-03 20:00:00+00:00,94047.66647664378
2025-03-03 21:00:00+00:00,94047.66647664378
2025-03-03 22:00:00+00:00,94047.66647664378
2025-03-03 23:00:00+00:00,94047.66647664378
2025-03-04 00:00:00+00:00,94047.66647664378
2025-03-04 01:00:00+00:00,94047.66647664378
2025-03-04 02:00:00+00:00,94047.66647664378
2025-03-04 03:00:00+00:00,94047.66647664378
2025-03-04 04:00:00+00:00,94047.66647664378
2025-03-04 05:00:00+00:00,94047.66647664378
2025-03-04 06:00:00+00:00,94047.66647664378
2025-03-04 07:00:00+00:00,94047.66647664378
2025-03-04 08:00:00+00:00,94047.66647664378
2025-03-04 09:00:00+00:00,94047.66647664378
2025-03-04 10:00:00+00:00,94047.66647664378
2025-03-04 11:00:00+00:00,94047.66647664378
2025-03-04 12:00:00+00:00,94047.66647664378
2025-03-04 13:00:00+00:00,94047.66647664378
2025-03-04 14:00:00+00:00,94047.66647664378
2025-03-04 15:00:00+00:00,94047.66647664378
2025-03-04 16:00:00+00:00,94047.66647664378
2025-03-04 17:00:00+00:00,94047.66647664378
2025-03-04 18:00:00+00:00,94047.66647664378
